ID_MUNICIPIO,NOME_MUNICIPIO,CODIGO_INFRACAO,DESCRICAO_INFRACAO,UF_PLACA_VEICULO,TIPO_VEICULO,CATEGORIA_VEICULO,QTDE,MES,ANO
7175,TAQUARITINGA,6726-1,"CONDUZIR O VEICULO EM MAU ESTADO DE CONSERVACAO, COMPROMETENDO A SEGURANCA",SP,MOTOCICLO,PARTICULAR,9,11,2025
7107,SAO PAULO,5266-2,PARTICIPAR NA VIA COMO CONDUTOR EM EVENTOS ORGANIZADOS SEM PERMISSAO,SP,AUTOMOVEL,PARTICULAR,89,11,2025
6219,BAURU,7633-2,Dirigir veiculo manuseando telefone celular,SP,CAMIONETA,PARTICULAR,14,11,2025
6373,CUNHA,6637-2,CONDUZIR O VEICULO COM EQUIPAMENTO OBRIGATORIO INEFICIENTE/INOPERANTE,SP,MOTOCICLO,PARTICULAR,4,11,2025
6477,GUARULHOS,6726-1,"CONDUZIR O VEICULO EM MAU ESTADO DE CONSERVACAO, COMPROMETENDO A SEGURANCA",SP,CAMINHONET,PARTICULAR,71,11,2025
6327,CEDRAL,7579-0,"REC SUB TEST, EX CLIN, PERIC OU PROC Q PERM CERT INFL ALC/SUB PSIC FOR ART. 277",SP,CAMIONETA,PARTICULAR,1,11,2025
6563,ITAQUAQUECETUBA,6041-1,EXECUTAR OPERACAO DE CONVERSAO A DIREITA EM LOCAL PROIBIDO PELA SINALIZACAO,SP,AUTOMOVEL,PARTICULAR,18,11,2025
6477,GUARULHOS,6637-1,CONDUZIR O VEICULO SEM EQUIPAMENTO OBRIGATORIO,SP,AUTOMOVEL,PARTICULAR,17,11,2025
6583,ITUVERAVA,6726-1,"CONDUZIR O VEICULO EM MAU ESTADO DE CONSERVACAO, COMPROMETENDO A SEGURANCA",SP,MOTOCICLO,PARTICULAR,6,11,2025
6249,BOTUCATU,7340-0,DIRIGIR O VEIC USANDO CALCADO QUE N SE FIRME NOS PES/COMPROMETA UTILIZ PEDAIS,SP,MOTOCICLO,PARTICULAR,4,11,2025
6715,MOGI-GUACU,6653-2,CONDUZIR O VEICULO COM SILENCIADOR DE MOTOR DEFEITUOSO/DEFICIENTE/INOPERANTE,Outras UFs,MOTOCICLO,PARTICULAR,3,11,2025
7107,SAO PAULO,5010-0,DIRIGIR VEICULO SEM POSSUIR CNH/PPD/ACC,Outras UFs,MOTOCICLO,PARTICULAR,45,11,2025
6737,MONTE MOR,5185-1,Deixar o condutor de usar o cinto seguranca,SP,AUTOMOVEL,PARTICULAR,78,11,2025
7107,SAO PAULO,7633-2,Dirigir veiculo manuseando telefone celular,Outras UFs,CAMINHAO,ALUGUEL,6,11,2025
6789,OSASCO,7366-2,DIRIGIR VEICULO UTILIZANDO-SE DE TELEFONE CELULAR,SP,UTILITARIO,PARTICULAR,4,11,2025
6921,PRAIA GRANDE,5010-0,DIRIGIR VEICULO SEM POSSUIR CNH/PPD/ACC,SP,MOTOCICLO,PARTICULAR,21,11,2025
6477,GUARULHOS,7056-1,CONDUZIR MOTOC/MOTON/CICLOMOTOR FAZENDO MALABARISMO/EQUILIBRANDO-SE EM UMA RODA,SP,MOTOCICLO,PARTICULAR,43,11,2025
7149,SUMARE,6530-0,USAR NO VEICULO EQUIP C/ SOM EM VOLUME/FREQUENCIA NAO AUTORIZADOS PELO CONTRAN,SP,AUTOMOVEL,PARTICULAR,7,11,2025
7033,SANTA FE DO SUL,5380-0,ESTACIONAR NAS ESQUINAS E A MENOS DE 5M DO ALINHAMENTO DA VIA TRANSVERSAL,SP,CAMINHONET,PARTICULAR,1,11,2025
6603,JARDINOPOLIS,5010-0,DIRIGIR VEICULO SEM POSSUIR CNH/PPD/ACC,SP,MOTONETA,PARTICULAR,1,11,2025
7065,SANTO ANTONIO DO PINHAL,5835-0,Desobedecer as ordens emanadas da autorid compet de transito ou de seus agentes,Outras UFs,MOTOCICLO,PARTICULAR,1,11,2025
6239,BOITUVA,5010-0,DIRIGIR VEICULO SEM POSSUIR CNH/PPD/ACC,SP,AUTOMOVEL,PARTICULAR,5,11,2025
7183,TAUBATE,5835-0,Desobedecer as ordens emanadas da autorid compet de transito ou de seus agentes,SP,MOTOCICLO,PARTICULAR,15,11,2025
6559,ITAPUI,6637-1,CONDUZIR O VEICULO SEM EQUIPAMENTO OBRIGATORIO,SP,ONIBUS,OFICIAL,2,11,2025
6313,CARAPICUIBA,6700-0,"CONDUZIR VEIC COM VIDRO TOTAL/PARCIALMENTE COBERTO POR PELICULA, PAINEIS/PINTURA",SP,UTILITARIO,PARTICULAR,1,11,2025
6389,DRACENA,5010-0,DIRIGIR VEICULO SEM POSSUIR CNH/PPD/ACC,SP,MOTOCICLO,PARTICULAR,12,11,2025
6377,DIADEMA,5720-0,TRANSITAR PELA CONTRAMAO DE DIRECAO EM VIA COM DUPLO SENTIDO DE CIRCULACAO,SP,AUTOMOVEL,PARTICULAR,7,11,2025
6291,CAMPINAS,6726-1,"CONDUZIR O VEICULO EM MAU ESTADO DE CONSERVACAO, COMPROMETENDO A SEGURANCA",SP,CAMINHONET,PARTICULAR,4,11,2025
